document,referenceResponse
"But health officials have warned that unless MMR (measles, mumps and rubella) vaccinations continue, a further outbreak cannot be ruled out.
There have been no laboratory-confirmed cases linked to the outbreak area since 22 May, Public Health Wales said.
One person died and a total of 1,219 measles cases were diagnosed during the outbreak since November.
Some 88 people visited a hospital due to the disease while a campaign was launched to boost the uptake of the MMR vaccine.
Dr Marion Lyons, director of health protection for Public Health Wales (PHW), said that the end of the outbreak was in ""no small part to unprecedented efforts to vaccinate tens of thousands of people"".
""Without so many vaccinations being given, we know that the outbreak could have continued for many more months,"" said Dr Lyons.
But PHW warned that with 30,000 children in the 10 to 18 years age group still unvaccinated across Wales, there was still a possibility of a further outbreak in the future.
And the health minister urged parents to get their children vaccinated.
Dr Lyons said: ""The only reason this outbreak could happen was because not enough young people in Wales were fully vaccinated with two doses of MMR and there is absolutely no guarantee that this could not happen again.""
Some 75,868 unscheduled vaccinations were given to people around Wales who had not been immunised in a bid to bring the epidemic under control.
GP surgeries, hospital and schools held drop-in sessions, with PHW particularly keen to target children and young people who may have missed their scheduled jabs.
Health Minister Mark Drakeford said he ""wholeheartedly"" welcomed the end of the outbreak but insisted there was ""still work to do"".
""The young people in the 10 to 18 age group who still have not been vaccinated should make the necessary arrangements at their earliest convenience,"" he added.
""We would not want to see another outbreak.
""I would like to thank the healthcare professionals for their tireless work in organising and staffing the unscheduled vaccinations drop-in sessions and GPs for the contribution of primary care among others.""
Large numbers of children in the 10-18 age group were not given the MMR vaccine as babies, the result of a scare that caused panic among parents.
It followed research by Dr Andrew Wakefield in the late 1990s which linked the vaccine with autism and bowel disease.
His report, which was published in The Lancet medical journal, was later discredited, with health officials insisting the vaccine was completely safe.
PHW said that even though the outbreak was over, a small number of measles cases were seen in Wales every year - in 2011 there were 19 cases - and parents should still ensure their children were fully vaccinated.
The first dose of MMR should be given at around 12-13 months of age and the second at around three years and four months of age - but it is never too late to catch up on missed doses, say health officials.
PHW advises that anyone born in 1970 or later who has not had measles or two doses of MMR should be vaccinated.
Any babies younger than 12 months who were advised to receive early vaccination as a result of the outbreak will still be called for routine vaccination and should still attend these appointments.
It is not dangerous to receive more than two doses of the vaccine, PHW added.
The measles outbreak centred on the Abertawe Bro Morgannwg health board area - which covers Swansea and Neath Port Talbot - along with the Powys health board area and Hywel Dda, which covers Pembrokeshire, Carmarthenshire and Ceredigion.
The Welsh Conservatives renewed their calls for a public inquiry into the epidemic so that lessons could be learned and failings identified.
On Monday, an inquest heard that Gareth Colfer-Williams, 25, died from pneumonia after contracting measles during the Swansea outbreak.
He was found dead on his sofa in his flat on 18 April, days after seeing GPs and complaining of a rash all over his body.",The measles epidemic centred on the Swansea area has been declared over eight months after it began.
"Performers dressed as cartoon characters popular in the west were seen dancing on state TV, along with violin players in miniskirts.
Pyongyang has long taken pains to keep popular culture out of its media.
This seems to be the first time that Disney characters have been featured in the reclusive state.
A Disney spokesperson told the Associated Press news agency that it had not licensed or authorised the use of the characters in the show.
'Grandiose plan'
The concert was staged by the Moranbong band as its debut performance on Friday, reported state media KCNA.
The band was put together by Kim Jong-un, who has a ''grandiose plan to bring about a dramatic turn in the field of literature and arts this year"", state media said.
North Korean entertainment has traditionally featured nationalist or folk songs, and mass displays.
In recent years, reports say, children in the isolated country have become familiar with characters such as Mickey Mouse and Winnie the Pooh through stationery items and clothes imported from China, North Korea's closest ally.
It seems to point to an easing of North Korea's paranoia about what it calls spiritual pollution from the West, and even more dangerously, South Korea, says the BBC's Charles Scanlon.
It is still illegal to watch South Korean television programmes in North Korea. But a recent report based on interviews with refugees said that North Koreans now have more access to outside media, especially DVDs of popular South Korean drama serials.
The young leader, who took power following the death of his father, Kim Jong-il in December 2011, has been seen as attempting to make changes to the profile of the North Korean leadership.
Mr Kim, believed to be in his late 20s, made his first public speech in April, in a 20-minute televised address as Pyongyang marks the centenary of the birth of the country's founder, his grandfather, Kim Il-sung.
Kim Jong-il is thought to have made one recorded public utterance in his 18-year rule - and that was a single sentence.","Mickey Mouse and other Disney characters have shown up on stage in North Korea in a concert for leader Kim Jong-un, raising some eyebrows."
"The 26-year-old Southend United forward was jailed in May after admitting online banking fraud in which a woman lost more than Â£2,000.
His club said he was eligible for early release because of the short duration of his sentence and ""his consistently excellent custodial behaviour"".
Ranger will return to training with the League One club immediately.
In a statement, Southend United said: ""Nile may regard himself as fortunate but will remain under an evening home curfew for the next five to six weeks.""
The club said it was unclear whether this meant he would be able to play in midweek evening matches.
Ranger is set to go through an individual training regime over the next seven to 10 days before rejoining his team-mates.
The former England youth player came through the academy at Newcastle United and went on to play for Swindon Town and Blackpool, before moving to Southend United in last summer.",Footballer Nile Ranger has been released from prison about 10 weeks into his eight-month sentence.
"Hundreds of volunteers have offered to help finish the Lee Rigby House in North Staffordshire.
An ex-serviceman posted an appeal after seeing only three people ""struggling to get the place finished"" before opening in September.
A trustee said the build is on track, but they're grateful for any help.
See more stories from Stoke and Staffordshire here
The Lee Rigby Foundation was established by the mother of the fusilier who was murdered in Woolwich in 2013 and has gone on to set up the Lee Rigby Home in Oakmoor.
Keith Lawson visited the home to do some work on Wednesday and said his phone has been ""ringing off the hook"" since he shared the post online.
""The people working there are veterans themselves.  I expected to see a house full of people beavering away so I was surprised when it was just three of them.
""Already we've filled five A4 sheets of paper with names and phone numbers of trades people that want to help.""
The building for Lee Rigby House was donated by local charity, the Kendo Nagasaki Foundation, and will house seven people at a time.
The foundation runs purely on volunteers, and Roz MacDonald is one of two trustees. She says the house will offer somewhere for people to unwind.
""Nobody else is doing quite what we're doing.  Here is it just completely peaceful, people can feel the weights of their problems being lifted.""
The charity is looking for people to help with finishing touches including furnishing, flooring, and landscaping.
Work has been ongoing for two years and the charity feels confident the house will be completed by September.
Ms MacDonald described the response as ""tremendous- the most welcome deluge"".","A Facebook post asking for help to complete a retreat for veterans and service families has been shared nearly 50,000 times."
"Comic Enterprises successfully argued in the High Court that 20th Century Fox's show breached its trademark right to The Glee Club name.
The show's broadcaster appealed against the 2014 ruling, but appeal court judges dismissed their case.
It is not yet clear whether the Glee show's name will have to be changed.
The appeal court judges are now due to consider whether EU trademark law affects the ruling and therefore means no change is required.
More updates on this and Birmingham and the Black Country
Part of the film studio's argument was that it should not need to change the name, citing EU law which states a trademark must be ""a sign"", in the sense of being a single sign and capable of being ""graphically represented"".  The show's name, it said, did not fall into this category.
As a result, the judges have asked the two parties and the UK Intellectual Property Office to enter their submissions on the issue by Monday when they will consider whether to send the case to the European courts.
The television show first aired in 2009 on the Fox Channel - part of Rupert Murdoch's media empire.
Mark Tughan, owner of the comedy club chain, said he received an 80-page ruling from Lord Justice Lloyd Jones, Lady Justice Arden and Lord Justice Kitchin on Monday following the appeal hearing in November.
Mr Tughan said the comedy club's trademark was registered in 1999 and that he started legal proceedings in 2011.
The film studio is yet to comment on the appeal being thrown out.
Mr Tughan, who tweeted his victory, told BBC News ""I feel vindicated, not only for taking the case in the first place but now that two courts have come to the same conclusion about the infringement on my trademark.
""One would hope that Fox would put down their weapons but they have shown no inkling of wanting to settle this.""
He added he was awarded some compensation from the High Court hearing but said he is yet to pursue what he feels he is entitled to.
The Glee Club opened in Birmingham in 1994 and now has branches in Cardiff, Nottingham and Oxford.",The makers of hit TV show Glee have lost their appeal against a legal ruling that found in favour of a comedy club chain of the same name.
"Earlier the Saudi foreign ministry said it had turned down the non-permanent seat, accusing the world body of ""double standards"".
The ministry said the UN needs to be reformed first.
It said the Security Council had failed in its duties towards Syria as well as in other world conflicts.
Mr Ban refused to say whether he would be speaking to the Saudi king about the matter.
""I understand that some member states, particularly some concerned group of member states, are discussing [this] among themselves,"" Mr Ban said.
The reaction among diplomats to this unprecedented decision has been one of shock and confusion, the BBC's Nada Tawfik reports from the UN.
France's UN ambassador Gerard Araud said: ""We think that Saudi Arabia would have brought a very positive contribution to the Security Council, but we do also understand the frustration of Saudi Arabia.""
""The fact is that the Security Council has been unable to act now for more than two years,"" Mr Araud said, according to AFP.
However, Russia's foreign ministry called the move bewildering, and said Saudi Arabia's criticism of the UN Security Council about its actions over Syria ""is particularly strange"".
By Bridget KendallDiplomatic correspondent, BBC News
Usually there is fierce competition to secure one of the 10 rotating seats on the UN Security Council - a chance to sit alongside the five permanent members for two years  on the top UN body which rules on international security issues.
Instead Saudi Arabia  has used the coveted position to lodge a very public protest.
This is the second protest from Saudi Arabia. Earlier this month the Saudi foreign minister pulled out of giving a speech at the UN General Assembly, expressing similar frustration.
It is a dramatic gesture, but whether it makes immediate reform of the Security Council more likely, as the Saudis demand, is probably questionable.
Saudi Arabia has previously expressed frustration at what it sees as an international failure to act on Syria, where it staunchly backs the rebels.
The announcement came hours after Saudi Arabia was elected for the first time to one of the 10 rotating seats on the Security Council.
The non-permanent members sit on the council for two years, along with the five permanent members - the US, the UK, France, China and Russia.
As well as accusing the council of ""double-standards"" and demanding reform, the Saudi foreign ministry pointed to its failure ""to find a solution to the Palestinian cause for 65 years"", which had led to ""numerous wars that have threatened world peace"".
It also criticised the UN's ""failure"" to rid the Middle East region of weapons of mass destruction, including nuclear weapons.
And it accused the UN of allowing the Syrian government ""to kill its own people with chemical weapons... without confronting it or imposing any deterrent sanctions"".
The UN Security Council last month finally broke a two-and-a-half year deadlock on how to deal with conflict in Syria after voting unanimously to adopt a binding resolution on ridding the country of chemical weapons.
Saudi observers say Riyadh would have been working for years to gain a place on the UN Security Council, so such a decision would have to have been made at the very top of the kingdom's leadership.",UN Secretary-General Ban Ki-moon says he has received no notification from Saudi Arabia that it will turn down a seat on the UN Security Council.
"The attack, at Warrenpoint station, happened in the early hours of Sunday.
Officers returning from patrol at about 03:30 GMT, found that a petrol bomb had been thrown over the perimeter wall into the yard of the station.
It had smashed, but failed to ignite, and caused minor damage to a car parked in the yard.
Insp Colin Patterson said: ""We will be viewing footage from the station security cameras, but I would also like to appeal to anyone who noticed any suspicious activity in the vicinity of the police station or who has any information to contact officers in Warrenpoint on 101.""
SDLP MP Margaret Ritchie said it was ""a cowardly attack"".
""This attack represents a very clear attempt by an extreme minority to return south Down to the past,"" she said.",A petrol bomb has been thrown at a police station in County Down.
"One sign depicted a woman above the word ""kitchen"" and another showed a man alongside the word ""stadium"".
Lyon's president said on Twitter the club were investigating the incident.
Lille have since confirmed their home match against Lorient on Saturday will be free for all women, saying: ""Ladies, you are welcome with us.""
Lyon's women's team have won the French title 14 times and their captain Wendie Renard highlighted the banners on Twitter, saying: ""Lyon supporters... can you give me an explanation for that banner? The men at the stadium, the women in the kitchen?""
Club president Jean Michel Aulas replied: ""The club will get tough and will file a complaint against the creator of this banner.""
Lyon, who are fourth in the league, lost the match 2-1 at Parc Olympique Lyonnais.
This content will not work on your device, please check Javascript and cookies are enabled or update your browser",Lille have offered free entry to women after sexist banners appeared in the home crowd in Saturday's Ligue 1 match at Lyon.
"Olsson, who played 261 times after joining the Baggies in 2008, would have been out of contract this summer.
But the Premier League club have agreed to cancel his deal early so he can return to his homeland in time for the start of their new top-flight season.
""Albion has, and will always be, a huge part of my life,"" said Olsson, 34.
""It's all happened so quickly I've not had chance to say a proper farewell to so many people. I will be back at the first chance to do that.
""I'm really grateful to the club for helping me sort out this transfer,"" said the Swede, who also captained Albion during his near nine years' service to the club.
Meanwhile, teenager Kane Wilson has signed his first professional contract at The Hawthorns, the 17-year-old defender having signed a deal which ties him to Albion until the summer of 2019.
Find all the latest football transfers on our dedicated page.",West Bromwich Albion's long-serving defender Jonas Olsson has had his contract cancelled to allow him to move back to Sweden to join Djurgarden IF.
"Cummings was in the right place at the right time to convert David Gray's cross for his first.
And the 21-year-old rolled in an opportunistic second from a tight angle when he capitalised on a mix-up in the Buddies' defence.
New signings Andrew Shinnie and Brian Graham both came off the bench to make their debuts for Hibs.
Graham in particular had a brilliant chance to score his first goal for the Leith side but Saints goalkeeper Scott Gallacher blocked the effort.
Former Buddie John McGinn cracked the angle of post and cross-bar late on and any critics of Cummings would say the forward should have gone home with a hat-trick ball.
His double here brought his tally for the season to five already, and the deflected cross from energetic captain Gray only needed a left-foot steer into the net.
Being in the right place to capitalise was key for Cummings, and 10 minutes later his persistence at pestering St Mirren defender Jack Baird and keeper Gallacher was rewarded.
The St Mirren duo left a back-pass to each other and Cummings nipped in to clinically score from a tight angle.
Lennon's managerial effect from the sidelines is clear. Fifteen minutes into this match the former Celtic boss was berating Hibs centre-back Darren McGregor for a lack of urgency.
Players paid attention to Lennon's demands to ""move it quickly"" and ""get it forward"".
Cummings received an earful for a poor second-half pass and Marvin Bartley was rebuked for moaning at the referee. Lennon has got his team by the scruff of the neck.
St Mirren's home form under Alex Rae has been better than his predecessors but there was not much for the locals to get excited about on this occasion - indeed some booed at half-time.
Baird watched his header sail over and substitute David Clarkson shot narrowly wide, but the impression was Hibs had another gear in them if required.
Hibs boss Neil Lennon: ""Jason Cummings is a goalscorer but there's more to his game.
""He got two brilliant goals and could've had a couple more. I thought he got sloppy in the second half and looked a little bit tired.
""If you'd been watching him in the first half you could have had Real Madrid on the phone. But if you'd been watching him second half you would've had Accrington Stanley on the phone - and that's no disrespect to Accrington.""
St Mirren manager Alex Rae: ""The fact is that we dug in and competed in the second half.
""You can't legislate for that second goal. No matter what the preparation is, it's just a miscommunication and it becomes difficult because you're chasing the game.
""We need to stick together as a team and get through this.""
Match ends, St. Mirren 0, Hibernian 2.
Second Half ends, St. Mirren 0, Hibernian 2.
Andy Webster (St. Mirren) wins a free kick in the defensive half.
Foul by Brian Graham (Hibernian).
John McGinn (Hibernian) hits the bar with a right footed shot from outside the box.
Attempt missed. Andrew Shinnie (Hibernian) right footed shot from a difficult angle on the right misses to the right.
Corner,  Hibernian. Conceded by Jason Naismith.
Attempt saved. Brian Graham (Hibernian) right footed shot from the centre of the box is saved in the top centre of the goal.
Jordan Stewart (St. Mirren) is shown the yellow card for a bad foul.
Foul by Jordan Stewart (St. Mirren).
Dylan McGeouch (Hibernian) wins a free kick in the attacking half.
Attempt missed. Stephen Mallan (St. Mirren) right footed shot from outside the box is high and wide to the right.
David Clarkson (St. Mirren) wins a free kick in the defensive half.
Foul by Darren McGregor (Hibernian).
Substitution, Hibernian. Martin Boyle replaces Jason Cummings.
Attempt missed. Brian Graham (Hibernian) right footed shot from the centre of the box misses to the right.
Attempt saved. David Clarkson (St. Mirren) right footed shot from the right side of the box is saved in the centre of the goal.
Attempt missed. Andrew Shinnie (Hibernian) right footed shot from outside the box is too high.
Foul by Kyle Hutton (St. Mirren).
Dylan McGeouch (Hibernian) wins a free kick in the attacking half.
Foul by David Clarkson (St. Mirren).
Marvin Bartley (Hibernian) wins a free kick on the left wing.
Foul by Gary Irvine (St. Mirren).
Jason Cummings (Hibernian) wins a free kick in the defensive half.
Substitution, Hibernian. Brian Graham replaces Grant Holt.
Substitution, St. Mirren. Jordan Stewart replaces Lawrence Shankland.
Attempt saved. David Gray (Hibernian) header from the right side of the box is saved in the top centre of the goal.
Andy Webster (St. Mirren) wins a free kick in the defensive half.
Foul by Andrew Shinnie (Hibernian).
Substitution, St. Mirren. David Clarkson replaces John Sutton.
Substitution, Hibernian. Andrew Shinnie replaces James Keatings.
Foul by Gary Irvine (St. Mirren).
Jason Cummings (Hibernian) wins a free kick in the defensive half.
Foul by Gary Irvine (St. Mirren).
Jason Cummings (Hibernian) wins a free kick on the right wing.
James Keatings (Hibernian) hits the bar with a left footed shot from outside the box.
Attempt missed. Jack Baird (St. Mirren) header from the centre of the box is close, but misses the top right corner.
Gary Irvine (St. Mirren) wins a free kick on the left wing.
Foul by David Gray (Hibernian).
Kyle Hutton (St. Mirren) is shown the yellow card for a bad foul.",Jason Cummings' brace against St Mirren helped Hibernian continue their perfect start to the Championship season.
"Almost none of these will work. Why?
Because, on current polling, it all comes down to whether you think the people voting for Andy Burnham or those voting for Yvette Cooper are more likely to put Corbyn as their next preference.
And there is no decent publicly available evidence that either of them are. Furthermore, for similar reasons, there is no arithmetic reason why non Corbyn candidates withdrawing would do anything to stop Corbyn.
Voters in this election will be given the opportunity to rank the candidates in order of preference. The first preferences are counted up, and the person with the fewest is eliminated from the contest - and the votes they received are given to whoever each person that voted for them rated as their second preference.
If after that none of the candidates has achieved 50% of the vote, the candidate with the lowest number of votes is eliminated and their votes are given to whoever they put as their higher preference amongst the two remaining candidates. By definition, this gives one of the two remaining candidates a majority of the votes.
Current polling puts Corbyn first, Cooper and Burnham roughly tied in second, and Kendall trailing in third. So either Cooper or Burnham will most likely be the candidate that faces Corbyn in the final round. If you want to stop Corbyn, you'll be voting for some combination of Cooper, Burnham and Kendall as your first three preferences. So your vote WILL end up being for whoever faces Corbyn in the final round, WHICHEVER order you put those three in.
The only way you can affect the number of votes Corbyn gets is by trying to second-guess the second preferences of people that vote for eliminated candidates. If you believe the polls, Kendall's almost certain to be eliminated first, so you can't affect that. But one of Burnham and Cooper won't be eliminated before the final run off with Corbyn. Whichever one is eliminated will have their preferences redistributed to either Corbyn or his opponent.
So, in theory, if you, the ""stop Corbyn"" voter thought that, say, Burnham's supporters are more likely to have Corbyn as their next preference than Cooper's, you should put Burnham ahead of Cooper in your preference list even if you ACTUALLY prefer Cooper to Burnham - because it'll starve Corbyn of the extra votes he'd get if Burnham was knocked out.
The thing is, I am not aware of any decent evidence that this is the case. We have very few polls on the Labour leadership election - and those that exist (necessarily) have small samples of what Burnham and Cooper's second preferences would be. Very roughly speaking, the polling tables I've seen suggest supporters of both split their second preferences about 30/70 between Corbyn and his opponent. So it's not clear which of these you should give a higher preference to tactically stop Corbyn anyway.
In other words, there is no obvious way to tactically vote against Corbyn. If you want to stop him he'll be your last preference anyway - and it literally doesn't matter what order your first three preferences are in. Crazy thought though it might be, you can happily vote for candidates on the basis of, y'know, how good you think they are.
This actually has implications for people dropping out of the race as well. Ballot papers have already gone out, but Cooper could, for example, tell all her supporters to first preference Andy Burnham instead. In terms of tactical voting, there is NO POINT in any of the three non Corbyn candidates doing this. All their votes will be aggregated to support whoever faces Corbyn in the final round anyway as a result of the preference system.
Of course, that's just on the arithmetic. There might be a case for candidates dropping out if they think that a unified anti-Corbyn campaign would be more effective at winning over existing Corbyn supporters - perhaps because they spend less time attacking each other. But this is necessarily pretty speculative, especially this late in the game.
This piece was first published on the Newsnight Live blog",Ballot papers are going out this morning for the Labour leadership contest after a weekend of various grandees apparently dreaming up new schemes to stop Jeremy Corbyn.
"Charlton had thrashed Rovers 5-1 at the Memorial Stadium in November and they were convincing victors again, although they had to do it the hard way after a mistake by Patrick Bauer gifted Rovers a 12th-minute lead.
The Addicks defender slipped while attempting a back pass, enabling Jermaine Easter to burst clear on goal and round Dillon Phillips before slotting into an empty net.
Magennis' free-kick hit the crossbar, while Adam Chicksen's cross was tipped behind by Will Puddy via the woodwork as Charlton sought an equaliser before the break.
Parity was restored four minutes before the interval with Magennis heading home from Joe Aribo's free-kick.
And the duo combined in almost identical circumstances five minutes into the second half, an unmarked Magennis again using his head to convert from Aribo's set-piece delivery.
Aribo turned provider once again just after the hour, playing a low ball across the face of goal which was swept in from close range by Jorge Teixeira to make it 3-1.
Magennis completed his treble after 73 minutes, latching on to Andrew Crofts' pass and then firing an angled shot beyond Puddy in some style.
Report supplied by the Press Association.
Match ends, Charlton Athletic 4, Bristol Rovers 1.
Second Half ends, Charlton Athletic 4, Bristol Rovers 1.
Attempt missed. Matty Taylor (Bristol Rovers) header from the centre of the box is close, but misses to the left.
Foul by Morgan Fox (Charlton Athletic).
Lee Brown (Bristol Rovers) wins a free kick in the attacking half.
Jorge Teixeira (Charlton Athletic) wins a free kick on the left wing.
Foul by Matty Taylor (Bristol Rovers).
Attempt saved. Ellis Harrison (Bristol Rovers) header from the centre of the box is saved in the top centre of the goal.
Foul by Fredrik Ulvestad (Charlton Athletic).
Lee Mansell (Bristol Rovers) wins a free kick in the attacking half.
Substitution, Charlton Athletic. Nicky Ajose replaces Chris Solly.
Substitution, Charlton Athletic. Kevin Foley replaces Ezri Konsa Ngoyo.
Attempt missed. Josh Magennis (Charlton Athletic) header from a difficult angle on the left is close, but misses to the left.
Attempt saved. Peter Hartley (Bristol Rovers) right footed shot from the centre of the box is saved in the top centre of the goal.
Chris Solly (Charlton Athletic) is shown the yellow card for a bad foul.
Matty Taylor (Bristol Rovers) wins a free kick in the defensive half.
Foul by Chris Solly (Charlton Athletic).
Corner,  Charlton Athletic. Conceded by Peter Hartley.
Adam Chicksen (Charlton Athletic) wins a free kick on the right wing.
Foul by Lee Mansell (Bristol Rovers).
Substitution, Charlton Athletic. Fredrik Ulvestad replaces Joe Aribo.
Attempt missed. Matty Taylor (Bristol Rovers) left footed shot from outside the box misses to the right.
Adam Chicksen (Charlton Athletic) is shown the yellow card.
Foul by Adam Chicksen (Charlton Athletic).
Stuart Sinclair (Bristol Rovers) wins a free kick in the defensive half.
Goal!  Charlton Athletic 4, Bristol Rovers 1. Josh Magennis (Charlton Athletic) right footed shot from the centre of the box to the top right corner. Assisted by Jorge Teixeira.
Corner,  Bristol Rovers. Conceded by Patrick Bauer.
Attempt saved. Liam Lawrence (Bristol Rovers) right footed shot from the centre of the box is saved in the top centre of the goal.
Foul by Josh Magennis (Charlton Athletic).
Tom Lockyer (Bristol Rovers) wins a free kick on the left wing.
Corner,  Charlton Athletic. Conceded by Stuart Sinclair.
Byron Moore (Bristol Rovers) is shown the yellow card.
Corner,  Charlton Athletic. Conceded by Peter Hartley.
Corner,  Charlton Athletic. Conceded by Tom Lockyer.
Substitution, Bristol Rovers. James Clarke replaces Daniel Leadbitter because of an injury.
Corner,  Charlton Athletic. Conceded by Liam Lawrence.
Ezri Konsa Ngoyo (Charlton Athletic) wins a free kick in the defensive half.
Foul by Liam Lawrence (Bristol Rovers).
Goal!  Charlton Athletic 3, Bristol Rovers 1. Jorge Teixeira (Charlton Athletic) left footed shot from very close range to the centre of the goal. Assisted by Joe Aribo following a set piece situation.
Delay over. They are ready to continue.",Josh Magennis struck a hat-trick as Charlton came from behind to brush aside Bristol Rovers at The Valley.
"Stacey Burrows, 16, and Lucy Pygott, 17, were killed while on a training run in Aldershot, Hampshire, on 8 November.
Judge Phillip Gillibrand revealed he had lost his own brother in a car crash as he expressed sympathy for the girls' relatives.
Michael Casey, 24, is charged with causing death by dangerous driving.
Mr Casey, of St Paul's Road, Tottenham, London, was bailed to appear at Winchester Crown Court on 13 April.
Addressing the teenagers' relatives, Judge Gillibrand said: ""I do not know the incident but I myself lost my brother in a road traffic accident.
""I know the trauma and the anguish you must be going through.""
He was interrupted by a member of the public knocking on the window of the public gallery.
The judge asked them to leave the court and for people to ""respect the rule of law"" in a case where ""emotions are flying high"".
During the short hearing, Mr Casey spoke only to confirm his name, address and date of birth.
He did not enter pleas but the court was told he was likely to do so when the case is next heard.
The girls, who were members of Aldershot, Farnham and District Athletic Club, were warming up for an evening run when they were hit by a black Ford Focus in Queen's Avenue.
Lucy Pygott, who was from Hartley Wintney, Hampshire, had won a 3,000m bronze medal at the European Youth Championships in July.
Stacey Burrows, from Farnborough, was the Hampshire under-17 3,000m champion.","A judge has told a court he understood the ""trauma and anguish"" of the families of two teenage athletes who died after being hit by a car."
"Xi Jinping will be the first Chinese president to attend the annual meeting of world and business leaders in the Swiss Alps in its 47-year history.
Mr Xi will speak in defence of free trade in his speech at the conference's opening ceremony on Tuesday.
Theresa May, the UK prime minister, is expected to meet with the Chinese leader in Davos on Tuesday.
She will travel to the Swiss ski resort after delivering a speech giving more detail about her Brexit plans in London earlier that day.
And on Friday, Philip Hammond, the UK chancellor, will further outline his vision of the UK's economic relationship with the European Union after Brexit.
Meanwhile, Mr Trump, who has spoken out against international trade deals, takes office on Friday.
Davos: Are the global elite in retreat?
Vaswani: Why is Xi Jinping going to Davos?
Davos coverage in full
Although the president-elect will not go to Davos, one of his top advisers - hedge fund boss Anthony Scaramucci - will speak about the new US leader's plans on Tuesday.
Mr Trump, whose ""America first"" pledge helped him win the White House, has also threatened to hike tariffs on goods imported from China.
Mr Xi is taking China's biggest delegation to the elite gathering in Davos, and his appearance is seen as an attempt to present the country as a world leader.
His entourage includes some of China's most successful business people, such as Jack Ma, the founder of e-commerce giant Alibaba, and property magnate Wang Jianlin, who runs the conglomerate Dalian Wanda.
China's vice foreign minister Li Baodong has said Mr Xi will detail the country's views on how to ""steer economic globalisation towards greater inclusiveness"".
Despite the apparent hostility between the US and China, Mr Xi has spoken of a smooth communication channel with Mr Trump's team, and reports suggest the Chinese president would be willing to meet members of the US president-elect's team whilst in Davos.
Mr Xi's attendance has been welcomed by WEF founder Klaus Schwab, who said he expects him to ""show how China will assume in global affairs a responsive and responsible leadership role"".
Responsive and responsible leadership is the theme for this year's gathering, which comes after a year of dramatic events including the UK's Brexit vote and the election of Donald Trump.
Mr Schwab has called on attendees to help ""overcome the present mood of divisiveness and negativism"".
""The world is fundamentally transforming technologically, economically, socially and politically.
""There are no simple, ready-made solutions. What we urgently need are pragmatic and future-oriented actions, even in the form of small steps, to provide positive narratives,"" he said ahead of the conference.
The World Economic Forum's global risks report, published ahead of the meeting, said ""rising income and wealth disparity"" and ""increasing polarisation of societies"" were two of the biggest risks expected to impact the world over the next decade.
The report, which is based on the views of 750 experts, found climate change and the potential for extreme weather events, cyber dependency leaving firms and governments more vulnerable to cyber-attacks and ageing populations were the other biggest risks.","China, Donald Trump and Brexit are set to dominate this year's World Economic Forum (WEF) meeting in Davos."
"The source close to the inquiry played down the significance of the interviews carried out in Portugal on Tuesday.
Portuguese detectives in Faro were observed during the questioning by officers from the Met Police, which is conducting its own investigation.
Madeleine disappeared aged three in the Algarve resort of Praia da Luz in 2007.
The source told the BBC: ""Questioning of the four suspects was concluded yesterday evening. Unfortunately the interviews have led to no new developments and we are back where we were seven years ago.""
The source added: ""The 'arguido' [suspect] status was given to the suspects to protect them. It gives them legal rights including the right to remain silent and to have a lawyer present during interviews.
Jeremy Cooke, BBC News in Praia da Luz
It is clear that the latest developments in the Madeleine McCann case are the result of the detailed, painstaking work being done by British police officers working on Operation Grange.
As their investigation continues, they formally request assistance from the Portuguese police. It is at the request of Scotland Yard officers that four potential new suspects - or arguidos - and 11 potential witnesses are being interviewed.
Those interviews involve detectives from both countries; the Portuguese asking the questions, while the British monitor proceedings.
It is not clear what potential link the British team believe may exist between the ""suspects"" and the disappearance of the three year-old. But clearly there are lines of inquiry they believe are worth following up.
There are, however, clear tensions here. With one source close to the case saying that the investigation is going nowhere and ""we are back where we were seven years ago"".
""They were declared arguido due to being identified as suspects in a letter of international request sent by the British to the Portuguese authorities.""
The Portuguese Attorney General's Office in Lisbon issued a brief statement about the questioning of the four suspects.
It said that requests from the British authorities had been carried out but the content of these requests would remain confidential.
Police have begun the process of interviewing 11 witnesses, which also relates to official requests from the Metropolitan Police.
The source indicated that two tracker dogs from the UK could be used in searching a vehicle thought to belong to one of the witnesses. No time or location was given for this.
One of the four ""persons of interest"" - or arguidos - questioned was Sergey Malinka. He has always denied any involvement.
Mr Malinka, a Russian-born website designer with Portuguese nationality, was questioned as a witness in 2007 when Madeleine went missing.
On Tuesday, Mr Malinka and another suspect left the central police station in Faro after they were interviewed.
A third person, who is said to be suffering from severe schizophrenia, remained inside the police headquarters after the other two had left.
All of those being questioned are Portuguese citizens. They have all been summoned to be interviewed; there have been no arrests.
The status of arguidos in the Portuguese judicial system refers to individuals whom police may reasonably suspect are linked to a crime.
In June, Portuguese and British officers searched three sites in Praia da Luz but found no evidence relating to the case.
Scotland Yard said at the time that ""more activity"" had been agreed with Portuguese police and the searches were the ""first phase"" of a major investigation.
The McCann family - from Rothley, Leicestershire - were staying in an apartment in Praia da Luz when Madeleine was last seen.
Her parents had been at a restaurant near their apartment when she went missing.","Questioning of four suspects in the Madeleine McCann investigation has concluded without any new developments, a source has told the BBC."
